"scenario","method","mean_cor","mean_rmse","success_rate"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_oasis[fractional|x=0.05|b=0.05]",0.344030413415551,2.27998184541798,1
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_pool_mean",0.534262324194048,0.929296405250316,1
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_pool_compcv",0.669597620723365,1.20707072271543,1
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.05]",0.324007555343307,2.51930704539869,1
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_pool_joint_mult",0.526597797897067,1.12810205352883,1
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_pool_joint_mult",0.466436103881071,0.928917388747449,1
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","fmrilss_oasis[fractional|x=0.01|b=0.05]",0.334561424342183,3.19702092571442,1
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","fmrilss_oasis[fractional|x=0.05|b=0.05]",0.309135027706239,2.62303875631599,1
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_pool_compcv_wnever",0.439831164485007,1.05076505656305,1
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_sbhm",0.329026714642265,3.79380704485822,1
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_sbhm",0.464164103214255,2.74363521916795,1
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_sbhm",0.524469054296647,2.51754699482657,1
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_sbhm",0.303183392901821,4.21317247781896,1
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","fmrilss_sbhm",0.385381362530613,3.79577569073266,1
"h2_r2_c3__hrf_lag2_widen1p5__ar_mod__isi_sparse__amp_none","fmrilss_sbhm",0.42402207186038,2.74418918988699,1
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_sbhm",0.261469841513422,5.71514730709045,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_sbhm",0.339026248107269,4.16862465291965,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",0.344868648253325,3.51069129320279,1
